id,primaryTitle,type,startYear,grossWorldwide,averageRating,numVotes,metascore,decada
tt0111161,The Shawshank Redemption,movie,1994,29424909.0,9.3,3219026,82.0,1990
tt0068646,The Godfather,movie,1972,250933436.0,9.2,2244201,100.0,1970
tt0468569,The Dark Knight,movie,2008,1008480203.0,9.1,3204629,85.0,2000
tt0071562,The Godfather Part II,movie,1974,48209545.0,9.0,1505420,90.0,1970
tt0167260,The Lord of the Rings: The Return of the King,movie,2003,1149453674.0,9.0,2181632,94.0,2000
tt0050083,12 Angry Men,movie,1957,13168.0,9.0,996035,97.0,1950
tt0108052,Schindler's List,movie,1993,322161245.0,9.0,1595817,95.0,1990
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,2001,897539618.0,8.9,2224790,92.0,2000
tt0110912,Pulp Fiction,movie,1994,213928762.0,8.8,2455116,95.0,1990
tt0060196,"The Good, the Bad and the Ugly",movie,1966,25280183.0,8.8,896337,90.0,1960
tt0167261,The Lord of the Rings: The Two Towers,movie,2002,945185917.0,8.8,1973312,87.0,2000
tt0109830,Forrest Gump,movie,1994,678226465.0,8.8,2519721,82.0,1990
tt0137523,Fight Club,movie,1999,102438967.0,8.8,2641980,67.0,1990
tt1375666,Inception,movie,2010,839796627.0,8.8,2849077,74.0,2010
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,1980,550016086.0,8.7,1516392,82.0,1980
tt0133093,The Matrix,movie,1999,473333509.0,8.7,2266147,73.0,1990
tt0816692,Interstellar,movie,2014,764344535.0,8.7,2579990,74.0,2010
tt0099685,GoodFellas,movie,1990,47292032.0,8.7,1404679,92.0,1990
tt0073486,One Flew Over the Cuckoo's Nest,movie,1975,109130852.0,8.6,1162651,84.0,1970
tt0114369,Seven,movie,1995,329813591.0,8.6,2044647,65.0,1990
tt0038650,It's a Wonderful Life,movie,1946,11497647.0,8.6,557068,89.0,1940
tt0102926,The Silence of the Lambs,movie,1991,273138318.0,8.6,1738870,86.0,1990
tt0120815,Saving Private Ryan,movie,1998,482352390.0,8.6,1653555,91.0,1990
tt0047478,Seven Samurai,movie,1954,1130429.0,8.6,404161,98.0,1950
tt0120689,The Green Mile,movie,1999,286801374.0,8.6,1575799,61.0,1990
tt0317248,City of God,movie,2002,30685656.0,8.6,877701,79.0,2000
tt0118799,Life Is Beautiful,movie,1997,230099013.0,8.6,818783,58.0,1990
tt0103064,Terminator 2: Judgment Day,movie,1991,517814175.0,8.6,1293310,75.0,1990
tt0088763,Back to the Future,movie,1985,392976852.0,8.5,1466723,88.0,1980
tt0076759,Star Wars: Episode IV - A New Hope,movie,1977,775398507.0,8.6,1581533,90.0,1970
tt6019206,Kill Bill: The Whole Bloody Affair,movie,2004,13089431.0,8.7,51827,95.0,2000
tt0245429,Spirited Away,movie,2001,360795806.0,8.6,978488,96.0,2000
tt0172495,Gladiator,movie,2000,465518644.0,8.5,1869430,67.0,2000
tt0253474,The Pianist,movie,2002,120098945.0,8.5,1019733,85.0,2000
tt6751668,Parasite,movie,2019,263423899.0,8.5,1183914,97.0,2010
tt0095327,Grave of the Fireflies,movie,1988,4707975.0,8.5,392294,94.0,1980
tt0056058,Harakiri,movie,1962,15222.0,8.6,93033,85.0,1960
tt0054215,Psycho,movie,1960,32276120.0,8.5,790839,97.0,1960
tt0110357,The Lion King,movie,1994,979161632.0,8.5,1270658,88.0,1990
tt0407887,The Departed,movie,2006,292095981.0,8.5,1568818,85.0,2000
tt2582802,Whiplash,movie,2014,50431161.0,8.5,1171605,89.0,2010
tt0482571,The Prestige,movie,2006,109676311.0,8.5,1611350,66.0,2000
tt0120586,American History X,movie,1998,23875714.0,8.5,1281171,62.0,1990
tt9362722,Spider-Man: Across the Spider-Verse,movie,2023,690824738.0,8.5,541329,86.0,2020
tt0110413,Léon: The Professional,movie,1994,20330788.0,8.5,1359764,64.0,1990
tt0095765,Cinema Paradiso,movie,1988,13502484.0,8.5,319062,80.0,1980
tt0034583,Casablanca,movie,1942,4757681.0,8.5,658490,100.0,1940
tt1675434,The Intouchables,movie,2011,426590315.0,8.5,1036529,57.0,2010
tt0114814,The Usual Suspects,movie,1995,23343219.0,8.5,1247355,76.0,1990
tt1853728,Django Unchained,movie,2012,426079005.0,8.5,1902162,81.0,2010
tt0078748,Alien,movie,1979,109726643.0,8.4,1071667,89.0,1970
tt0047396,Rear Window,movie,1954,37918896.0,8.4,571660,100.0,1950
tt0027977,Modern Times,movie,1936,469661.0,8.5,286821,96.0,1930
tt0064116,Once Upon a Time in the West,movie,1968,5445580.0,8.5,386341,82.0,1960
tt33764258,The Odyssey,movie,2026,922051460.0,8.5,348090,88.0,2020
tt0021749,City Lights,movie,1931,56018.0,8.5,217547,99.0,1930
tt0910970,WALL·E,movie,2008,527404782.0,8.4,1334115,95.0,2000
tt0078788,Apocalypse Now,movie,1979,105513178.0,8.4,774972,94.0,1970
tt0209144,Memento,movie,2000,43260108.0,8.4,1450156,83.0,2000
tt4154756,Avengers: Infinity War,movie,2018,2052415039.0,8.4,1393829,68.0,2010
tt15239678,Dune: Part Two,movie,2024,714844358.0,8.4,781524,79.0,2020
tt0082971,Raiders of the Lost Ark,movie,1981,389925971.0,8.4,1116659,86.0,1980
tt4633694,Spider-Man: Into the Spider-Verse,movie,2018,394884133.0,8.4,804765,87.0,2010
tt0405094,The Lives of Others,movie,2006,77672685.0,8.4,445571,89.0,2000
tt0043014,Sunset Boulevard,movie,1950,339342.0,8.4,262826,94.0,1950
tt0051201,Witness for the Prosecution,movie,1957,7903.0,8.4,163463,76.0,1950
tt0050825,Paths of Glory,movie,1957,9307.0,8.4,241545,90.0,1950
tt0081505,The Shining,movie,1980,50312025.0,8.4,1236777,68.0,1980
tt0032553,The Great Dictator,movie,1940,972212.0,8.4,259512,NULL,1940
tt0361748,Inglourious Basterds,movie,2009,321461171.0,8.4,1806286,69.0,2000
tt0090605,Aliens,movie,1986,131060248.0,8.4,844780,84.0,1980
tt23849204,12th Fail,movie,2023,138288.0,8.7,175242,NULL,2020
tt0057565,High and Low,movie,1963,72745.0,8.4,72863,90.0,1960
tt4154796,Avengers: Endgame,movie,2019,2799439100.0,8.4,1469332,78.0,2010
tt0119217,Good Will Hunting,movie,1997,225933435.0,8.4,1232731,71.0,1990
tt2380307,Coco,movie,2017,822423956.0,8.4,719956,81.0,2010
tt1345836,The Dark Knight Rises,movie,2012,1085429532.0,8.4,2015322,78.0,2010
tt0114709,Toy Story,movie,1995,401157969.0,8.3,1191245,96.0,1990
tt0086879,Amadeus,movie,1984,52271162.0,8.4,471289,87.0,1980
tt5311514,Your Name.,movie,2016,405631820.0,8.4,400218,81.0,2010
tt0082096,Das Boot,movie,1981,11489279.0,8.3,289519,85.0,1980
tt0112573,Braveheart,movie,1995,213216216.0,8.3,1168115,68.0,1990
tt0119698,Princess Mononoke,movie,1997,34598531.0,8.3,487968,78.0,1990
tt1187043,3 Idiots,movie,2009,60262836.0,8.4,486975,67.0,2000
tt0364569,Oldboy,movie,2003,17617021.0,8.3,727174,78.0,2000
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,1964,9820632.0,8.3,552852,97.0,1960
tt0169547,American Beauty,movie,1999,356296601.0,8.3,1284509,84.0,1990
tt8267604,Capernaum,movie,2018,64417003.0,8.4,125920,75.0,2010
tt0045152,Singin' in the Rain,movie,1952,2113091.0,8.3,284620,99.0,1950
tt0087843,Once Upon a Time in America,movie,1984,5476424.0,8.3,410505,75.0,1980
