id_filme,genero
tt0111161,Drama
tt0068646,Crime
tt0068646,Drama
tt0468569,Crime
tt0468569,Thriller
tt0071562,Crime
tt0071562,Drama
tt0167260,Adventure
tt0167260,Drama
tt0167260,Fantasy
tt0050083,Crime
tt0050083,Drama
tt0108052,Biography
tt0108052,Drama
tt0108052,History
tt0120737,Adventure
tt0120737,Drama
tt0120737,Fantasy
tt0110912,Crime
tt0110912,Drama
tt0060196,Adventure
tt0060196,Drama
tt0060196,Western
tt0167261,Adventure
tt0167261,Drama
tt0167261,Fantasy
tt0109830,Drama
tt0109830,Romance
tt0137523,Crime
tt0137523,Drama
tt0137523,Thriller
tt1375666,Adventure
tt1375666,Sci-Fi
tt1375666,Thriller
tt0080684,Adventure
tt0080684,Fantasy
tt0080684,Sci-Fi
tt0133093,Action
tt0133093,Sci-Fi
tt0816692,Adventure
tt0816692,Drama
tt0816692,Sci-Fi
tt0099685,Biography
tt0099685,Crime
tt0099685,Drama
tt0073486,Drama
tt0114369,Crime
tt0114369,Drama
tt0114369,Mystery
tt0038650,Drama
tt0038650,Family
tt0038650,Fantasy
tt0102926,Crime
tt0102926,Drama
tt0102926,Horror
tt0120815,Drama
tt0120815,War
tt0047478,Action
tt0047478,Drama
tt0120689,Crime
tt0120689,Drama
tt0120689,Fantasy
tt0317248,Crime
tt0317248,Drama
tt0118799,Comedy
tt0118799,Drama
tt0118799,Romance
tt0103064,Action
tt0103064,Adventure
tt0103064,Sci-Fi
tt0088763,Adventure
tt0088763,Comedy
tt0088763,Sci-Fi
tt0076759,Action
tt0076759,Adventure
tt0076759,Fantasy
tt6019206,Action
tt6019206,Crime
tt6019206,Thriller
tt0245429,Adventure
tt0245429,Animation
tt0245429,Family
tt0172495,Action
tt0172495,Adventure
tt0172495,Drama
tt0253474,Biography
tt0253474,Drama
tt0253474,Music
tt6751668,Drama
tt6751668,Thriller
tt0095327,Animation
tt0095327,Drama
tt0095327,War
tt0056058,Drama
tt0056058,Mystery
tt0054215,Drama
tt0054215,Horror
tt0054215,Mystery
tt0110357,Adventure
tt0110357,Animation
tt0110357,Drama
tt0407887,Crime
tt0407887,Drama
tt0407887,Thriller
tt2582802,Drama
tt2582802,Music
